Date,Open,Close,sma_20,mad,sigma,z,regime,days_in,p_up,base_p_up,price_vel_5,dmad_5,mad_price_contrib_5,mad_sma_contrib_5,price_share_5,sig_cross_up,sig_rollback
2022-07-13,355.5646,359.1003,359.8867,-0.219,2.8043,-0.0781,-1.0,1.0,0.8437,0.7131,-0.011533,-0.3329,-1.1693,0.8325,-0.5841,False,False
2022-07-14,354.1521,358.2282,360.1544,-0.5377,2.7997,-0.1921,-1.0,2.0,0.8102,0.7131,-0.028484,-2.4464,-2.9477,0.4296,-0.8728,False,False
2022-07-15,362.6265,365.0721,360.5128,1.2489,2.7964,0.4466,1.0,1.0,0.2304,0.2769,-0.009108,-0.8464,-0.9077,0.0536,-0.9443,True,False
2022-07-18,368.1529,362.0578,361.3127,0.2058,2.793,0.0737,1.0,2.0,0.1147,0.2769,-0.005934,-0.9596,-0.5957,-0.3696,-0.6171,False,False
2022-07-19,365.9726,371.8402,362.5644,2.4946,2.7954,0.8924,1.0,3.0,0.449,0.2769,0.03004,2.1158,2.8436,-0.7895,0.7827,False,False
2022-07-20,372.0299,374.2101,363.4981,2.8626,2.8009,1.022,2.0,1.0,0.0536,0.1833,0.042077,3.0816,3.9222,-0.9651,0.8025,False,False
2022-07-21,373.6319,378.0208,364.6546,3.5358,2.8115,1.2577,2.0,2.0,0.116,0.1833,0.055251,4.0735,5.0507,-1.1905,0.8093,False,False
2022-07-22,378.144,374.5135,365.4617,2.4169,2.8167,0.8581,1.0,1.0,0.4353,0.2829,0.025862,1.168,2.46,-1.3214,0.6505,False,True
2022-07-25,375.139,374.9684,365.722,2.4659,2.8223,0.8737,1.0,2.0,0.4438,0.2829,0.035659,2.2601,3.3582,-1.1759,0.7407,False,False
2022-07-26,373.3285,370.5322,365.831,1.2688,2.8232,0.4494,1.0,3.0,0.2387,0.2829,-0.003518,-1.2258,-0.3485,-0.8816,-0.2833,False,False
2022-07-27,373.8214,380.1536,366.7974,3.5134,2.8328,1.2403,2.0,1.0,0.1079,0.1793,0.015883,0.6508,1.5085,-0.8679,0.6348,False,False
2022-07-28,380.9593,384.9216,368.0169,4.3917,2.8456,1.5433,2.0,2.0,0.2617,0.1793,0.018255,0.8559,1.7141,-0.8735,0.6624,False,False
