ticker,variant,days_in_trade,bh_days,exposure_pct,round_trips,win_rate,avg_trade_return,med_days_per_trade,total_return,deployed_cagr,edge_vs_bh,intrade_sharpe,maxdd,bps_per_day,beat_bh_deployed_cagr,beat_bh_bps,beat_bh_intrade_sharpe
LUMN,ANT_pup60,103,354,29.1,1,0.0,-0.1991,62.0,-0.6245,-0.909,-0.2292,-3.536,-0.6473,-95.11,False,False,False
LUMN,ANT_pup70,103,354,29.1,1,0.0,-0.1991,62.0,-0.6245,-0.909,-0.2292,-3.536,-0.6473,-95.11,False,False,False
LUMN,ANT_all,113,354,31.9,1,0.0,-0.2456,72.0,-0.6463,-0.9015,-0.2217,-3.494,-0.6473,-91.98,False,False,False
LUV,buy_and_hold,2514,2514,100.0,0,,,,-0.0402,-0.0041,0.0,0.172,-0.6647,-0.16,False,False,False
LUV,R1_confirmed,1618,2514,64.4,41,0.634,0.0123,25.0,0.4577,0.0605,0.0646,0.342,-0.5309,2.33,True,True,True
LUV,R1_share_ge50,1235,2514,49.1,34,0.765,0.0279,24.5,1.2717,0.1823,0.1864,0.636,-0.4247,6.64,True,True,True
LUV,ANT_pup50,1993,2514,79.3,41,0.585,0.0094,40.0,0.1216,0.0146,0.0187,0.226,-0.6448,0.58,True,True,True
LUV,ANT_pup60,1985,2514,79.0,41,0.585,0.0081,40.0,0.07,0.0086,0.0127,0.21,-0.6448,0.34,True,True,True
LUV,ANT_pup70,1960,2514,78.0,40,0.55,0.0054,38.0,-0.0472,-0.0062,-0.0021,0.171,-0.6448,-0.25,False,False,False
LUV,ANT_all,2035,2514,80.9,41,0.585,0.0081,42.0,0.0489,0.0059,0.01,0.204,-0.6312,0.23,True,True,True
LVLT,buy_and_hold,449,449,100.0,0,,,,0.0191,0.0107,0.0,0.169,-0.2114,0.42,False,False,False
LVLT,R1_confirmed,316,449,70.4,5,0.6,0.0442,65.0,0.2262,0.1766,0.1659,0.748,-0.1455,6.45,True,True,True
LVLT,R1_share_ge50,303,449,67.5,5,0.6,0.03,62.0,0.1476,0.1213,0.1106,0.564,-0.1455,4.54,True,True,True
LVLT,ANT_pup50,366,449,81.5,5,0.6,0.0278,79.0,0.1322,0.0893,0.0786,0.464,-0.1825,3.39,True,True,True
LVLT,ANT_pup60,348,449,77.5,5,0.6,0.0418,76.0,0.2056,0.145,0.1343,0.656,-0.1455,5.37,True,True,True
LVLT,ANT_pup70,347,449,77.3,5,0.6,0.0376,76.0,0.1837,0.1303,0.1196,0.605,-0.1455,4.86,True,True,True
LVLT,ANT_all,366,449,81.5,5,0.6,0.0278,79.0,0.1322,0.0893,0.0786,0.464,-0.1825,3.39,True,True,True
LVS,buy_and_hold,1570,1570,100.0,0,,,,0.152,0.023,0.0,0.27,-0.593,0.9,False,False,False
